"GeoFips","GeoName","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3","2021:Q4"
"01000","Alabama",231792.8,210576.3,231581.2,233635.5,238126.4,243786.8,248991.2,257465.4
"02000","Alaska",53103.2,45944.5,48876.9,51355.3,52163.8,54055.9,55677.2,57983.5
"04000","Arizona",375700.3,351317.9,378850.2,389007.5,393599.0,405788.7,415560.6,429818.7
"05000","Arkansas",132472.4,122958.7,133036.8,134534.9,138770.9,143004.5,145923.6,150482.7
"06000","California",3083611.2,2801946.6,3042208.0,3100984.9,3207138.8,3321704.1,3384335.2,3513347.5
"08000","Colorado",395421.1,358716.2,385075.1,391126.2,402761.3,417623.6,426477.5,440903.4
"09000","Connecticut",286287.4,257812.1,278870.0,282722.1,285112.4,293594.7,298612.2,308670.9
"10000","Delaware",77074.2,71818.2,76815.0,77438.6,77392.3,79728.2,81546.4,84206.0
"11000","District of Columbia",147340.0,139170.6,144287.2,147421.3,147829.8,150576.5,153168.3,156456.9
"12000","Florida",1127294.8,1034693.9,1126331.5,1135821.9,1163342.0,1213461.0,1242300.4,1286086.4
"13000","Georgia",637690.1,585215.7,630252.1,637353.5,653600.0,675620.5,690040.3,713947.6
"15000","Hawaii",90324.4,77669.9,81034.8,82509.3,84183.3,89170.4,91946.8,94937.3
"16000","Idaho",84482.3,77635.9,85470.0,87698.2,90552.1,93410.5,94849.9,98454.6
"17000","Illinois",885630.0,804348.4,866285.8,877203.3,906797.7,927452.1,945653.6,973485.9
"18000","Indiana",384065.3,344388.3,383794.0,389099.2,403693.8,415922.8,423728.5,438011.7
"19000","Iowa",196419.1,181989.0,196938.3,201724.1,210044.9,219940.7,223685.5,225695.7
"20000","Kansas",178881.8,162994.4,177873.1,180817.9,185475.4,191169.5,194278.1,198291.5
"21000","Kentucky",217970.5,195399.1,217252.9,219535.8,225700.8,231511.0,236300.6,244480.3
"22000","Louisiana",247300.5,219516.3,236762.0,238170.7,243641.4,253297.9,257160.7,267126.3
"23000","Maine",70099.5,64704.4,70256.0,72027.3,73174.0,75213.9,76664.5,79176.6
"24000","Maryland",422759.8,387606.8,415081.5,417250.6,430607.4,431318.7,439027.7,451985.8
"25000","Massachusetts",600435.8,544140.4,586019.7,599311.4,610699.8,629570.1,642037.7,663749.8
"26000","Michigan",532286.2,467167.0,528248.7,532777.8,541144.8,566009.0,574149.8,592349.1
"27000","Minnesota",383708.7,351218.4,376935.2,383094.9,392456.9,408960.6,417194.3,429391.2
"28000","Mississippi",116407.2,104988.3,115949.8,118037.3,120444.8,123757.5,126263.9,129974.0
"29000","Missouri",335481.3,308248.5,333640.0,340098.8,347677.3,356070.4,362955.7,373104.6
"30000","Montana",51947.9,47991.8,52340.7,53755.0,56453.1,58755.3,60020.3,61982.6
"31000","Nebraska",134755.6,123846.0,134929.0,140225.5,145825.1,149354.5,152222.4,154148.8
"32000","Nevada",184994.5,151093.6,172158.2,175528.9,180973.1,190799.1,195777.3,204305.6
"33000","New Hampshire",89250.6,80750.5,88889.9,91593.2,92752.6,98745.6,99030.3,102438.8
"34000","New Jersey",646387.5,571005.6,624872.7,632051.2,649336.4,661895.3,677006.3,700119.5
"35000","New Mexico",103268.9,91388.1,98586.2,100645.3,104314.7,107114.6,109602.6,114680.0
"36000","New York",1789195.3,1618038.2,1736425.7,1755377.0,1791204.1,1842362.6,1867929.4,1914207.5
"37000","North Carolina",603139.8,549900.3,598497.6,607778.4,628105.9,646903.7,660326.5,684606.7
"38000","North Dakota",58494.4,50509.3,54520.4,55892.7,59702.6,62889.6,64583.4,66371.7
"39000","Ohio",696308.1,627252.6,688815.7,697868.3,710998.9,728398.4,741399.5,765002.6
"40000","Oklahoma",196918.3,174514.0,189111.3,191683.0,196400.1,203272.5,208765.4,218563.8
"41000","Oregon",250597.2,228542.1,246357.2,249610.9,256567.2,262916.8,268863.7,279424.5
"42000","Pennsylvania",802036.1,712551.3,779767.1,793237.2,807846.2,828895.7,846123.5,874880.8
"44000","Rhode Island",61775.7,56288.9,61652.9,62507.9,62340.1,65700.5,66893.7,68822.6
"45000","South Carolina",247225.5,227781.1,250739.5,253780.6,259690.8,266773.6,272097.4,281754.3
"46000","South Dakota",55792.2,51129.3,55088.0,57148.1,58938.8,61093.6,61980.4,62809.1
"47000","Tennessee",382646.2,335711.7,375476.9,384462.2,400791.9,411982.7,421351.9,439050.2
"48000","Texas",1838100.3,1651389.5,1787816.1,1825045.4,1880288.0,1949756.3,2006650.5,2104579.4
"49000","Utah",196919.8,186765.8,200044.5,206517.6,211720.7,217148.4,222157.1,230341.9
"50000","Vermont",34688.1,30758.4,33896.7,34396.6,35032.1,35702.8,36301.6,37643.9
"51000","Virginia",559123.1,519051.9,554366.5,565601.7,572427.6,584197.0,596025.4,614754.2
"53000","Washington",609026.1,568716.3,619196.6,620076.2,636346.8,663120.9,674091.1,696748.3
"54000","West Virginia",78180.0,68881.9,76658.7,79699.2,82922.8,86256.5,88445.8,91952.8
"55000","Wisconsin",344159.4,315671.4,342396.0,348629.4,353610.1,362318.8,367887.4,379908.8
"56000","Wyoming",38834.0,33214.5,36180.9,37064.3,39303.0,40761.4,42101.9,44323.4
